Complexity,Loss,Equation
1,1.6886934e6,"1228.4749"
3,455319.12,"x0 * 4901.256"
5,294810.06,"(x0 * 6933.575) + -795.01886"
6,285515.75,"(sin(x0) * 7503.81) + -895.2957"
7,227381.16,"sin(square(x0 * 1.8159355)) * 4051.0403"
8,201475.05,"(0.83349437 - cos(x0 * 4.4471483)) * 2074.642"
9,184179.64,"square(sin((x0 * 2.7997134) - 0.2655966)) * 3820.6436"
11,179434.8,"(2.0466354 - cos(x0 * 7.4597154)) * (square(x0) * 4489.615)"
12,178388.06,"(2.1915996 - cos(x0 * 7.4861283)) * (sin(square(x0)) * 4316.5347)"
13,178208.69,"((2.0647194 - cos(x0 * 7.5167484)) * (square(x0) * 4583.3916)) - 54.31544"
14,174842.58,"((square(sin(x0)) * 4455.736) * (2.4247437 - cos(x0 * 7.5106974))) + -98.526115"
16,174459.6,"(2.3373039 - cos(x0 * 7.5437675)) * ((square(sin(x0)) * 4586.1914) - (x2 * 57.330345))"
18,173530.92,"(((x2 * -0.22974357) + 2.223899) - cos(x0 * 7.6110907)) * ((square(sin(x0)) * 5125.0913) + -56.65632)"
19,171729.78,"((2.0212376 - cos(x0 * 7.463115)) * (square(x0) * 4691.423)) - exp(exp((x0 * 1.7286309) + x2))"
